Geometry existed before creation.;Plato
God forever geometrizes.;Plato
Wherever there is number, there is beauty.;Proclus
The book of nature is written in the language of mathematics.;Galileo
Mathematics is the Queen of the Sciences.;Carl Friedrich Gauss
But of all the sciences cultivated by mankind, none are more useful than mathematics, to call forth a spirit of enterprise and enquiry.;Consider Sterry
The mathematician does not study pure mathematics because it is useful, he studies it because he delights in it and he delights in it because it is beautiful.;Henri Poincare
Pure mathematics is, in its way, the poetry of logical ideas.;Albert Einstein
How can it be that mathematics, a product of human thought in dependent of experience, is so admirably adapted to the objects of reality?;Albert Einstein
All mathematicians share ... a sense of amazement over the infinite depth and the mysterious beauty and usefulness of mathematics.;Martin Gardner
Out of Nothing, I have created a strange new universe.;Janos Bolyai
Mathematics, rightly viewed, possesses not only truth, but supreme beauty.;Bertrand Russell
Mathematics takes us still further from what is human, into the region of absolute necessity, to which not only the actual world, but every possible world, must conform.;Bertrand Russell
Math is the subject in which we never know what we are talking about, nor whether what we are saying is true.;Bertrand Russell
Mathematics is the door and key to the sciences.;Roger Bacon
Mathematics is the language with which God wrote the universe.;Galileo
Mathematics is not only real, but it is the only reality.;Martin Gardner
Mathematics is a more powerful instrument of knowledge than any other that has been bequeathed to us by human agency.;Descartes
Without mathematics, there’s nothing you can do. Everything around you is mathematics. Everything around you is numbers.;Shakuntala Devi
The only way to learn mathematics is to do mathematics.;Paul Halmos
Mathematics is the music of reason.;James Joseph Sylvester
Go down deep enough into anything and you will find mathematics.;Dean Schlicter
Mathematics is the gate and key to science.;Roger Bacon
If you stop at general math, then you will only make general money.;Snoop Dogg
Mathematics is the most beautiful and most powerful creation of the human spirit.;Stefan Banach
Math is the source code of reality.;Anonymous
